105961,0.666667,0.594486,David,Souto
105952,0.5,0.592435,Renzo,Olivo
105541,0.666667,0.591182,Alex,Llompart
104499,0.5,0.590296,Jimmy,Wang
104898,0.416667,0.589764,Robin,Haase
104122,0.444444,0.588017,Carlos,Berlocq
104593,0.419355,0.587671,Daniel,Gimeno Traver
106423,0.40625,0.587302,Thanasi,Kokkinakis
103285,0.411765,0.586399,Radek,Stepanek
104909,1,0.58326,Sunu Wahyu,Trijati
105572,0.388889,0.582239,Austin,Krajicek
105299,0.75,0.581635,Dzmitry,Zhyrmont
105826,0.5,0.581289,Alejandro,Gomez GB42
103781,0.428571,0.578968,Jurgen,Melzer
104631,0.666667,0.577373,Harshana,Godamanna
105334,1,0.575252,Luis David,Martinez
105011,0.416667,0.575051,Illya,Marchenko
105030,0.571429,0.574995,Michael,Venus
104460,0.384615,0.572641,Dustin,Brown
103926,0.6,0.57198,Daniel,Munoz De La Nava
105583,0.447368,0.571544,Dusan,Lajovic
105992,0.384615,0.570467,Ryan,Harrison
106033,0.666667,0.56938,Romain,Arneodo
126203,0.5,0.567926,Taylor Harry,Fritz
106234,0.5,0.566263,Aslan,Karatsev
104719,0.4,0.563041,Marcel,Granollers
104471,0.421053,0.56227,Ivan,Dodig
103401,0.5,0.562182,Jan,Hernych
105254,0.5,0.561366,Nikola,Mektic
144719,0.333333,0.560912,Jaume,Munar
105357,0.357143,0.558078,John,Millman
106175,0.6,0.557408,Ricardo,Rodriguez
104591,0.5,0.557178,Patrick,Tierro
103908,0.368421,0.556372,Paul Henri,Mathieu
105490,0.6,0.556214,Jui Chen,Hung
103582,0.375,0.552792,Michael,Berrer
104534,0.444444,0.55254,Dudi,Sela
103812,0.5,0.551526,Victor,Hanescu
103656,0.466667,0.548252,Albert,Montanes
105575,0.411765,0.547134,Ricardas,Berankis
104695,0.666667,0.544726,Fritz,Wolmarans
105963,0.5,0.543906,Arthur,De Greef
106281,0.5,0.543051,Liam,Broady
120792,0.5,0.539574,M Abid Ali Khan,Akbar
103813,0.4,0.539463,Jarkko,Nieminen
106026,0.4,0.537308,Yuki,Bhambri
106045,0.363636,0.537243,Denis,Kudla
111797,0.6,0.535862,Nicolas,Jarry
105217,0.3,0.535048,Thiemo,De Bakker
105147,0.4,0.532866,Tatsuma,Ito
105269,0.5,0.531961,Marcelo,Demoliner
126094,0.380952,0.530289,Andrey,Rublev
123755,0.5,0.527278,Daniel Elahi,Galan Riveros
104349,0.4,0.527002,Rui,Machado
111190,0.5,0.526772,Zhizhen,Zhang
106043,0.333333,0.524981,Diego Sebastian,Schwartzman
120401,0.666667,0.523892,Tucker,Vorster
105877,0.666667,0.520489,Emilio,Gomez
104233,0.25,0.519162,Frederik,Nielsen
105156,0.5,0.517993,Federico,Zeballos
105842,0.4,0.517331,Di,Wu
105512,0.5,0.515921,Alexander,Sarkissian
105542,0.333333,0.515188,Bastian,Trinker
105177,0.5,0.514635,Aditya,Hari Sasongko
105208,0.314286,0.514547,Ernests,Gulbis
105807,0.358974,0.512158,Pablo,Carreno Busta
104252,0.307692,0.511179,Florian,Mayer
104273,0.333333,0.51061,Edouard Roger,Vasselin
105182,0.5,0.507704,Antso,Rakotondramanga
104547,0.333333,0.507211,Horacio,Zeballos
105819,0.5,0.506888,Guido,Andreozzi
111453,0,0.506687,Mikael,Torpegaard
104291,0.375,0.505636,Malek,Jaziri
104424,0.315789,0.501588,Go,Soeda
106247,0.5,0.499446,Nik,Razborsek
110602,0.333333,0.498254,Dennis,Novak
111805,0.5,0.49758,Seong Chan,Hong
105325,0,0.495093,Germain,Gigounon
105063,0.25,0.494261,Andrea,Arnaboldi
103997,0.25,0.494185,Lukasz,Kubot
103888,0.333333,0.494024,Mardy,Fish
103843,0.25,0.490633,Marco,Chiudinelli
106415,0.375,0.490562,Yoshihito,Nishioka
